Fine_CellType,Genes,Broad_Category
adipo-CAR,"APOE, CXCL12, GAS6, LPL",Adipose
CHONDROCYTE,"COL9A1, CSPG4, HAPLN1",Chondrocyte
chondrocyte,"COL11A1, COL9A3, HAPLN1, LECT1",Chondrocyte
EC,"ANPEP, CDH5, KDR",Endothelial
ENDOTHELIUM,"CD34, CDH5, PECAM1",Endothelial
ENTEROENDOCRINE CELL,"CHGA, NEUROD1, NEUROG3",Endothelial
Endo,ESAM,Endothelial
Endothelial,"CLDN5, KDR, PECAM1",Endothelial
Endothelial(PVLAP+),"CD34, ESAM, IL33, PLVAP",Endothelial
Endothial(LYVE1+),"CD34, KDR, LYVE1, PECAM1",Endothelial
LEC,"FLT4, LYVE1, PDPN, PROX1",Endothelial
Optic Recess,SIX6,Neural 
Vascular endothelial,"PECAM1, SLC2A1",Endothelial
arterial endothelium,"ALDH1A1, CXCR4, DKK2, DLL4, GJA5, GPIHBP1, IL33, PRND, UNC5B",Endothelial
decoding_liver_paper_early,"GATA1, KLF1",Erythroid
decoding_liver_paper_late+,"BPGM, MAP1LC3B, RNF10, TRIM58",Erythroid
decoding_liver_paper_mid,"ALAS2, HBA1",Erythroid
early endothelium,"ITM2A, PODXL, S100A10, SLC2A1",Endothelial
early lymphatic endothelium,"NTS, PROX1, TFF3",Endothelial
immature EC,"KDR, MRC1, PODXL, S100A10",Endothelial
proliferating EC,"KDR, MKI67, PODXL, RAMP2",Endothelial
sinusoidal EC,"ENG, LYVE1, MRC1, STAB1, TSPAN7",Endothelial
tip EC,"DLL4, ENG, KDR, LYVE1",Endothelial
KERATINOCYTE,"GATA3, KRT14, KRT5",Epidermis
MELANOCYTE,"MLANA, PMEL, TYR, TYRP1",Epidermis
keratinocyte,"KRT15, KRT18, KRT19, KRT5, RASSF6, RASSF7",Epidermis
lower genital keratinocyte,"FOXA1, TP63",Epidermis
melanocyte,"CRYAB, DCT, MITF, MLANA, PMEL, TYR, TYRP1",Epidermis
