cluster,label,n_drivers,drivers_top20
0,Muscle,13,"MYH3, TTN, ACTC1, MYL1, COL3A1, ACTA1, TNNT3, MYH7, MYL4, TNNT1, MYOG, DES, TPM2"
1,Epithelial,4,"APOA1, TRPM3, FXYD3, MITF"
10,Myeloid_Haem,12,"HBG2, HBA2, HBG1, APOE, SPP1, HBA1, HBB, SERPINF1, MMP9, FGL2, TAGLN, TOP2A"
100,Chondrocyte,5,"CNMD, SOX9, COL9A3, SOX6, COL9A1"
101,Myeloid_Haem,45,"LYZ, S100A9, S100A8, MNDA, IL1B, S100A12, SELL, ITGB2, CSF3R, CCL4, MS4A6A, ORM1, CD68, SERPINB1, ITGAM, CD52, FCGR3A, HLA-DRA, CD300E, CD74"
102,Erythroid,22,"HBA1, HBG1, HBA2, HBB, ALAS2, IFIT1B, HEMGN, GYPB, GYPA, BPGM, BLVRB, SLC4A1, SLC25A37, TRIM58, HBD, TMCC2, MKRN1, KLF1, GATA1, BNIP3L"
103,Myeloid_Haem,23,"MMP9, SPP1, CD68, CSF1R, HPGDS, SPINK2, FOLR2, ITGB2, HLA-DQA1, CD74, RNASE1, HMOX1, HLA-DPA1, ENG, HLA-DRA, C1QC, BLVRB, MRC1, APOE, HLA-DPB1"
104,Endothelial,16,"PLVAP, KDR, ENG, CDH5, LYVE1, STAB1, ESAM, MRC1, CLDN5, RAMP2, PECAM1, GPIHBP1, IL33, SLC2A1, TFF3, PODXL"
105,Myeloid_Haem,14,"CAV1, APOE, RNASE1, ITGA1, FGL2, TAGLN, KDR, SPP1, SERPINB1, BLVRB, MYL9, CD68, HBA2, HBA1"
106,Muscle,9,"SPARCL1, PAX7, TNNT1, DES, TPM2, ACTA2, PAX3, COL3A1, ACTC1"
107,Epidermis,6,"TYRP1, DCT, MLANA, PMEL, TYR, MITF"
108,Epithelial,3,"ALB, AFP, APOA1"
11,Myeloid_Haem,9,"TOP2A, MKI67, HDC, ISL1, VCAM1, SERPINF1, MME, MYL9, KIT"
12,Endothelial,22,"PECAM1, CDH5, KDR, PLVAP, CLDN5, PODXL, ESAM, PRND, IL33, GPIHBP1, ENG, NTS, RAMP2, LYVE1, STAB1, PROX1, ITM2A, ALDH1A1, DKK2, CXCR4"
13,Myeloid_Haem,47,"S100A8, S100A9, LYZ, S100A12, MNDA, SELL, CD52, MS4A6A, CSF3R, CD68, ITGB2, CD14, ORM1, CD74, ITGAM, SERPINB1, CD300E, FCGR3A, HLA-DRA, PLAC8"
