cluster,broad_label
0,Muscle
1,Epithelial
2,Fibroblast
3,Muscle
4,Chondrocyte
5,Progenitor_Haem
6,Chondrocyte
7,Fibroblast
8,Chondrocyte
9,Fibroblast
10,Myeloid_Haem
11,Myeloid_Haem
12,Endothelial
13,Myeloid_Haem
14,Muscle
15,Fibroblast
16,Fibroblast
17,Muscle
18,Chondrocyte
19,Lymphoid_Haem
20,Myeloid_Haem
21,Fibroblast
22,Myeloid_Haem
23,Lymphoid_Haem
24,Endothelial
25,Fibroblast
26,Myeloid_Haem
27,Myeloid_Haem
28,Progenitor_Haem
29,Myeloid_Haem
30,Myeloid_Haem
31,Chondrocyte
32,Myeloid_Haem
33,Myeloid_Haem
34,Fibroblast
35,Muscle
36,Muscle
37,Chondrocyte
38,Myeloid_Haem
39,Myeloid_Haem
40,Myeloid_Haem
41,Muscle
42,Fibroblast
43,Progenitor_Haem
44,Muscle
45,Fibroblast
46,Osteoblast
47,Erythroid
48,Chondrocyte
49,Muscle
50,Fibroblast
51,Epidermis
52,Lymphoid_Haem
53,Fibroblast
54,Chondrocyte
55,Epidermis
56,Chondrocyte
57,Epithelial
58,Lymphoid_Haem
59,Myeloid_Haem
60,Myeloid_Haem
61,Epithelial
62,Erythroid
63,Epithelial
64,Chondrocyte
65,Fibroblast
66,Myeloid_Haem
67,Erythroid
68,Erythroid
69,Fibroblast
70,Lymphoid_Haem
71,Fibroblast
72,Lymphoid_Haem
73,Myeloid_Haem
74,Endothelial
75,Mesenchymal cells
76,Erythroid
77,Myeloid_Haem
78,Muscle
79,Erythroid
80,Epithelial
81,Myeloid_Haem
82,Myeloid_Haem
83,Myeloid_Haem
84,Lymphoid_Haem
85,Chondrocyte
86,Epithelial
87,Muscle
88,Muscle
89,Chondrocyte
90,Muscle
91,Epithelial
92,Progenitor_Haem
93,Muscle
94,Erythroid
95,Myeloid_Haem
96,Erythroid
97,Endothelial
98,Myeloid_Haem
99,Erythroid
100,Chondrocyte
101,Myeloid_Haem
102,Erythroid
103,Myeloid_Haem
104,Endothelial
105,Myeloid_Haem
106,Muscle
107,Epidermis
108,Epithelial
