cluster,category,overlap,p_enrich,weighted,rank
0,Muscle,13,0.022920810018333668,45.0984376,1
0,Chondrocyte,6,0.31735331287709273,20.4993296,2
0,Myeloid_Haem,8,0.9999999999958349,7.4662229,3
1,Epithelial,4,0.9999854979134197,10.74200004,1
1,Progenitor_Haem,4,0.9999999999970166,6.792612740000001,2
1,Endothelial,2,0.9999971891655153,5.244593900000001,3
10,Myeloid_Haem,12,0.9992467894931946,30.31004377,1
10,Erythroid,5,0.9143249784326674,15.984036,2
10,Osteoblast,3,0.2844385060485896,11.8256726,3
100,Chondrocyte,5,0.9637145783900354,16.372554799999996,1
100,Progenitor_Haem,5,0.9999999999998999,12.370268639999999,2
100,Fibroblast,6,0.9999231539695353,10.6805824,3
101,Myeloid_Haem,45,0.9999999975700383,209.79239666,1
101,Progenitor_Haem,17,0.9999999656763059,58.52362292,2
101,Lymphoid_Haem,14,1.0,52.92595834000001,3
102,Erythroid,22,1.3428104860696854e-06,91.92789327000001,1
102,Myeloid_Haem,9,0.9999931214455559,53.7200977,2
102,Progenitor_Haem,5,0.9971877468431855,13.777498000000001,3
103,Myeloid_Haem,23,0.9999999973544186,78.55830128,1
103,Osteoclast_Haem,5,0.0387199598848638,41.775641799999995,2
103,Lymphoid_Haem,9,0.9999999999742784,25.602696800000004,3
104,Endothelial,16,0.14836621069563816,103.7734336,1
104,Myeloid_Haem,19,0.9999999999999437,92.15078020000001,2
104,Progenitor_Haem,11,0.9999980539443417,61.11645476,3
105,Myeloid_Haem,14,1.0,40.47342015999999,1
105,Epidermis,5,0.9908582730237449,34.5047926,2
105,Progenitor_Haem,5,0.9999999999999825,16.61326125,3
106,Muscle,9,0.8764595629646005,34.527847200000004,1
106,Myeloid_Haem,10,1.0,31.157358800000004,2
106,Erythroid,8,0.9997358691615857,17.5832995,3
107,Epidermis,6,0.6380020354323261,67.77392,1
107,Myeloid_Haem,11,0.999999999999321,22.023196549999998,2
107,Epithelial,2,0.999977977868276,19.929130999999998,3
108,Epithelial,3,0.4268909331240632,46.306769,1
108,Adipose,1,0.20297222877442703,6.743012,2
108,Erythroid,1,0.9593489688557157,6.743012,3
11,Myeloid_Haem,9,1.0,20.2531041,1
11,Fibroblast,9,0.9998423381749073,17.24780276,2
11,Erythroid,9,0.9999997409828566,17.095519140000004,3
12,Endothelial,22,0.11717631261034193,76.3910052,1
12,Myeloid_Haem,28,1.0,56.490425579999986,2
12,Progenitor_Haem,13,0.9999999999888606,44.85480187,3
13,Myeloid_Haem,47,0.9999235436497197,214.36059295999993,1
13,Lymphoid_Haem,11,0.9999999999999996,43.180892300000004,2
13,Progenitor_Haem,13,0.9999999524928465,40.15831394,3
14,Muscle,15,0.01951668191810219,71.7406652,1
14,Myeloid_Haem,7,1.0,13.639341300000002,2
14,Osteoblast,4,0.47652295684253915,10.532444199999999,3
15,Fibroblast,13,0.909160609258825,20.783138039999997,1
15,Myeloid_Haem,9,1.0,18.48184931,2
15,Progenitor_Haem,5,0.9999999999999486,8.4468222,3
16,Fibroblast,6,0.9999610690702563,13.430485,1
16,Endothelial,4,0.9999899547536382,10.3952678,2
16,Muscle,6,0.9992788748553656,9.61098357,3
17,Muscle,11,0.057742708459895896,29.9198174,1
17,Myeloid_Haem,7,0.9999999999612138,26.4546296,2
17,Chondrocyte,6,0.2290288908004391,23.5859567,3
18,Chondrocyte,10,0.3266137909924331,38.1114139,1
18,Mesenchymal cells,3,0.9999999998326229,11.0387327,2
18,Fibroblast,5,0.9999904980137697,9.736499299999998,3
19,Lymphoid_Haem,24,0.9999989935574519,132.23095625,1
19,Myeloid_Haem,18,1.0,91.70878338999997,2
19,Progenitor_Haem,9,0.9999999999006768,38.011126100000006,3
2,Fibroblast,10,0.9991877669348777,16.4418666,1
2,Progenitor_Haem,7,0.9999999999999969,9.552618899999999,2
2,Myeloid_Haem,5,1.0,4.628207789999999,3
20,Myeloid_Haem,12,1.0,14.34382014,1
20,Osteoblast,5,0.7219033995446045,12.4885206,2
20,Fibroblast,5,0.9999972194144674,12.326451100000002,3
21,Fibroblast,8,0.998005750798723,15.974535779999998,1
21,Erythroid,8,0.9999818745089889,11.706426539999999,2
21,Chondrocyte,5,0.9546655159041323,11.45275878,3
22,Myeloid_Haem,9,0.9999730397374275,25.95987403,1
22,Muscle,8,0.09426967303072575,17.9212502,2
22,Erythroid,6,0.8101874157896999,16.98067419,3
23,Lymphoid_Haem,33,0.9998407575180326,163.82207716000002,1
23,Myeloid_Haem,26,1.0,104.03892322999998,2
23,Progenitor_Haem,16,0.9999998051522385,68.0607373,3
24,Endothelial,20,0.08091202556333406,88.88639494,1
24,Progenitor_Haem,14,0.9999998777641435,58.7473087,2
24,Myeloid_Haem,16,1.0,46.904065549999984,3
25,Fibroblast,8,0.9992831075373645,16.76030305,1
25,Chondrocyte,3,0.9984475970589,8.6666562,2
25,Mesenchymal cells,3,0.9999999998972473,7.6748137,3
26,Myeloid_Haem,13,1.0,21.943415840000004,1
26,Fibroblast,9,0.998196090616375,14.426184950000001,2
26,Progenitor_Haem,7,0.9999999999989015,10.68581654,3
27,Myeloid_Haem,29,1.0,65.31562333,1
27,Muscle,15,0.8051045184924305,33.08255074,2
27,Erythroid,9,0.999999964804788,24.50477734,3
28,Progenitor_Haem,6,0.9999999996468749,13.173900800000002,1
28,Myeloid_Haem,9,1.0,12.3751388,2
28,Fibroblast,7,0.9971116930590038,11.15112325,3
29,Myeloid_Haem,11,1.0,18.03741725,1
29,Mesenchymal cells,6,0.9999999997854857,12.22050147,2
29,Fibroblast,7,0.9999967551469494,11.98349931,3
3,Muscle,13,0.5260620877256668,29.030119059999997,1
3,Myeloid_Haem,7,1.0,13.9371697,2
3,Mesenchymal cells,4,0.9999999722169655,12.7553309,3
30,Myeloid_Haem,53,0.9999098752160024,229.12594934,1
30,Lymphoid_Haem,12,1.0,33.54480172,2
