,Level1,Level2,Level3
0,Stroma,Fibroblast,ADH+ fibroblast
1,Stroma,Endothelial,AGM endothelial cells
2,Stroma,Epithelial,AGM epithelial cells
3,Erythroid,Erythroid,AGM erythroid cells
4,Haematopoietic,Haematopoietic,AGM haematopoietic cells
5,Stroma,Stroma,AGM stromal cells
6,Mesenchymal,Mesenchymal,ALX1+ mesenchymal cells
7,Haematopoietic,Myeloid,APOE+ macrophage
8,Mesenchymal,Chondrocyte,ASPN+ chondrocytes
9,Stroma,Epithelial,AT1
10,Stroma,Epithelial,AT2
11,Haematopoietic,Myeloid,AXL+ and SIGLEC6+ DCs
12,Stroma,Epithelial,Acinar cells
13,Haematopoietic,Lymphoid,Activated CD16+ NK
14,Stroma,Fibroblast,Adventitial fibroblast
15,Stroma,Epithelial,Aerocyte
16,Stroma,Fibroblast,Airway fibroblast
17,Stroma,Fibroblast,Alveolar fibroblast
18,Neural,Neural,Amacrine cells
19,Stroma,Epithelial,Apical ectoderm region basal cells
20,Stroma,Epithelial,Arachnoid barrier cells
21,Stroma,Endothelial,Arterial endothelial cells
22,Mesenchymal,Chondrocyte,Articular chondrocytes
23,Neural,Neural,Astrocytes
24,Haematopoietic,Lymphoid,B1 cells
25,Stroma,Epithelial,Basal cells
26,Haematopoietic,Myeloid,Basophil
27,Neural,Neural,Bipolar cells
28,Mesenchymal,Muscle,Bladder SMC
29,Erythroid,Erythroid,Brain erythrocytes
30,Stroma,Fibroblast,Brain fibroblasts
31,Haematopoietic,Haematopoietic,Brain immune cells
32,Neural,Neural,Brain neuroblast
33,Neural,Neural,Brain neuron
34,Neural,Neural,Brain neuronal IPC
35,Stroma,Epithelial,Brain placode cells
36,Neural,Neural,Brain radial glia
37,Stroma,Endothelial,Brain vascular cells
38,Stroma,Epithelial,Bud tip adjacent cells
39,Stroma,Epithelial,Bud tip progenitor
40,Haematopoietic,Lymphoid,CD16+ NK
41,Haematopoietic,Lymphoid,CD4 T
42,Haematopoietic,Lymphoid,CD5+ CCL22+ mature B
43,Haematopoietic,Lymphoid,CD5+ CCL22- mature B
44,Haematopoietic,Lymphoid,CD5- mature B
45,Haematopoietic,Lymphoid,CD56 bright NK
46,Haematopoietic,Lymphoid,CD8 T
47,Haematopoietic,Lymphoid,CD8AA
48,Haematopoietic,Progenitor,CMP
49,Neural,Neural,COL20A1+ Schwann cells
50,Haematopoietic,Myeloid,CXCL9+ macrophage
51,Stroma,Endothelial,Capillary coronary endothelial cells
52,Stroma,Epithelial,Capsular cells
53,Neural,Neural,Cerebellum glioblast
54,Haematopoietic,Haematopoietic,Cerebellum immune cells
55,Mesenchymal,Mesenchymal,Cerebellum neural crest cells
56,Neural,Neural,Cerebellum neuroblast
57,Neural,Neural,Cerebellum neuron
58,Neural,Neural,Cerebellum neuronal IPC
59,Neural,Neural,Cerebellum oligodendrocyte precursor cells
60,Neural,Neural,Cerebellum radial glia
61,Mesenchymal,Chondrocyte,Chondroblasts
62,Mesenchymal,Chondrocyte,Chondroprogenitors
63,Stroma,Endocrine,Chromaffin cells
64,Neural,Neural,Chromaffin-like fetal neuronal cells
65,Stroma,Epithelial,Ciliary margin
66,Haematopoietic,Myeloid,Classical monocytes
67,Stroma,Epithelial,Club cells
68,Stroma,Epithelial,Coelomic epithelial cells
69,Stroma,Epithelial,Conjunctival epithelial cells
70,Stroma,Endothelial,Corneal blood vessel endothelial cells
71,Stroma,Endothelial,Corneal endothelial cells
72,Stroma,Endothelial,Corneal endothelial progenitors
73,Stroma,Epithelial,Corneal epithelial cells
74,Stroma,Endothelial,Corneal lymphatic vessel endothelial cells
75,Neural,Neural,Corneal nerve cells
76,Stroma,Endothelial,Corneal proliferating endothelial cells
77,Stroma,Epithelial,Corneal proliferating progenitors
78,Stroma,Epithelial,Corneal stroma keratocytes
79,Mesenchymal,Muscle,Coronary SMC
80,Stroma,Endothelial,Coronary arterial endothelial cells
81,Stroma,Stroma,Coronary pericytes
82,Neural,Neural,Cortex glioblast
83,Haematopoietic,Haematopoietic,Cortex immune cells
84,Neural,Neural,Cortex neuroblast
85,Neural,Neural,Cortex neuron
86,Neural,Neural,Cortex neuronal IPC
87,Neural,Neural,Cortex oligodendrocyte precursor cells
88,Neural,Neural,Cortex radial glia
89,Stroma,Epithelial,Corticotropic cells
90,Haematopoietic,Lymphoid,Cycling B cells
91,Haematopoietic,Myeloid,Cycling DC
92,Haematopoietic,Lymphoid,Cycling ILC
93,Haematopoietic,Progenitor,Cycling MEMP
94,Haematopoietic,Progenitor,Cycling MPP
95,Haematopoietic,Lymphoid,Cycling NK
96,Haematopoietic,Lymphoid,Cycling T
97,Erythroid,Erythroid,Cycling definitive erythroblast
98,Stroma,Epithelial,Cycling epithelial cells
99,Mesenchymal,Muscle,Cycling fetal atrial cardiomyocyte
100,Mesenchymal,Muscle,Cycling fetal ventricular cardiomyocyte
101,Stroma,Fibroblast,Cycling fibroblast
102,Mesenchymal,Muscle,Cycling myoprogenitors
103,Haematopoietic,Myeloid,Cycling pDC
104,Mesenchymal,Mesenchymal,Cycling spine mesenchymal cells
105,Erythroid,Erythroid,Cycling yolk sac-derived erythrocytes
106,Haematopoietic,Progenitor,DC progenitor
107,Haematopoietic,Myeloid,DC1
108,Haematopoietic,Myeloid,DC2
109,Haematopoietic,Progenitor,DC2 precursor
110,Haematopoietic,Myeloid,DC3
111,Erythroid,Erythroid,Definitive erythroblast
112,Erythroid,Erythroid,Definitive erythrocytes
113,Erythroid,Erythroid,Definitive reticulocyte
114,Stroma,Fibroblast,Dermal fibroblasts
115,Stroma,Epithelial,Deuterosomal cells
116,Stroma,Stroma,Developing nephron
117,Neural,Neural,Diencephalon glioblast
118,Haematopoietic,Haematopoietic,Diencephalon immune cells
119,Neural,Neural,Diencephalon neuroblast
120,Neural,Neural,Diencephalon neuron
121,Neural,Neural,Diencephalon neuronal IPC
122,Neural,Neural,Diencephalon radial glia
123,Neural,Neural,Dorsal midbrain glioblast
124,Haematopoietic,Haematopoietic,Dorsal midbrain immune cells
125,Neural,Neural,Dorsal midbrain neuroblast
126,Neural,Neural,Dorsal midbrain neuron
127,Stroma,Epithelial,Dorsal midbrain neuronal IPC
128,Neural,Neural,Dorsal midbrain oligodendrocyte precursor cells
129,Neural,Neural,Dorsal midbrain radial glia
130,Neural,Neural,Dorsal root ganglion neurons
131,Stroma,Epithelial,Ductal cells
132,Stroma,Epithelial,ECM-producing fetal cardiomyocyte
133,Mesenchymal,Chondrocyte,EPYC+ chondrocytes
134,Haematopoietic,MK,Early MK
135,Neural,Neural,Early Schwann cells
136,Stroma,Epithelial,Early airway progenitor
137,Stroma,Endothelial,Early capillary endothelial cells
138,Haematopoietic,Lymphoid,Early double-negative thymocytes
139,Erythroid,Erythroid,Early erythroid
140,Stroma,Fibroblast,Early fibroblast
141,Stroma,Epithelial,Early gonadal somatic cells
142,Stroma,Epithelial,Early mesothelial cells
143,Stroma,Epithelial,Early osteoblasts
144,Neural,Neural,Early retinal glia
145,Stroma,Epithelial,Early stalk cells
146,Stroma,Epithelial,Early supporting gonadal cells
147,Stroma,Epithelial,Early supporting-like PAX8+ cells
148,Neural,Neural,Early sympathetic neurons
149,Stroma,Epithelial,Early tip progenitor
150,Stroma,Endothelial,Endocardial endothelial cells
151,Stroma,Endocrine,Endocrine progenitor 1
152,Stroma,Endocrine,Endocrine progenitor 2
153,Stroma,Endocrine,Endocrine progenitor 3
154,Stroma,Endocrine,Endocrine progenitor 4
155,Stroma,Endothelial,Endothelial cells
156,Stroma,Endocrine,Enteroendocrine cells
157,Haematopoietic,Myeloid,Eosinophil
158,Haematopoietic,Myeloid,Eosinophil_basophil
159,Stroma,Fibroblast,Epicardial fibroblast
160,Stroma,Epithelial,Epicardial mesothelial cells
161,Stroma,Epithelial,Epithelial basement membrane
162,Stroma,Epithelial,Epithelial cells
163,Erythroid,Erythroid,Erythrocyte progenitors
164,Stroma,Fibroblast,F10+ dermal fibroblast precursors
165,Neural,Neural,FGFBP2+ neural progenitor
166,Stroma,Endocrine,Fetal Leydig cells
167,Mesenchymal,Muscle,Fetal atrial cardiomyocyte
168,Neural,Neural,Fetal neuronal progenitor
169,Neural,Neural,Fetal satellite glial cells
170,Neural,Neural,Fetal satellite glial progenitor
171,Mesenchymal,Muscle,Fetal ventricular cardiomyocyte
172,Stroma,Fibroblast,Fibroblastic corneal endothelial cells
173,Stroma,Fibroblast,Fibroblasts
174,Stroma,Epithelial,Floor plate cells
175,Neural,Neural,Forebrain glioblast
176,Haematopoietic,Haematopoietic,Forebrain immune cells
177,Mesenchymal,Mesenchymal,Forebrain neural crest cells
178,Neural,Neural,Forebrain neuroblast
179,Neural,Neural,Forebrain neuron
180,Stroma,Epithelial,Forebrain neuronal IPC
181,Neural,Neural,Forebrain oligodendrocyte precursor cells
182,Neural,Neural,Forebrain radial glia
183,Stroma,Endocrine,GHRL+ neuroendocrine cells
184,Stroma,Endocrine,GHRL+ neuroendocrine precursor
185,Haematopoietic,Progenitor,GMP
186,Stroma,Epithelial,Gastrointestinal epithelial cells
187,Gonadal,Gonadal,Germ cells
188,Gonadal,Gonadal,Gonadal interstitial cells
189,Gonadal,Gonadal,Gonadotropic cells
190,Gonadal,Gonadal,Granulosa cells
191,Mesenchymal,Muscle,Great vessel SMC
192,Stroma,Endothelial,Great vessel endothelial cells
193,Stroma,Endothelial,Great vessel progenitors
194,Mesenchymal,Mesenchymal,HIC1+ mesenchymal cells
195,Erythroid,Erythroid,HMOX1+ primitive erythroblast
196,Stroma,Fibroblast,HOXC5+ dermal fibroblast precursors
197,Haematopoietic,Progenitor,HSC/ELP
198,Haematopoietic,Progenitor,HSC/MPP
199,Haematopoietic,Haematopoietic,Head immune cells
200,Mesenchymal,Mesenchymal,Head neural crest cells
201,Neural,Neural,Head neuroblast
202,Neural,Neural,Head neuron
203,Neural,Neural,Head radial glia
204,Liver,Liver,Hepatocyte
205,Liver,Liver,Hepatocyte-like cells
206,Neural,Neural,Hindbrain glioblast
207,Haematopoietic,Haematopoietic,Hindbrain immune cells
208,Mesenchymal,Mesenchymal,Hindbrain neural crest cells
209,Neural,Neural,Hindbrain neuroblast
210,Neural,Neural,Hindbrain neuron
211,Neural,Neural,Hindbrain neuronal IPC
212,Neural,Neural,Hindbrain oligodendrocyte precursor cells
213,Neural,Neural,Hindbrain radial glia
214,Neural,Neural,Hippocampus glioblast
215,Haematopoietic,Haematopoietic,Hippocampus immune cells
216,Neural,Neural,Hippocampus neuroblast
217,Neural,Neural,Hippocampus neuron
218,Neural,Neural,Hippocampus neuronal IPC
219,Neural,Neural,Hippocampus oligodendrocyte precursor cells
220,Neural,Neural,Hippocampus radial glia
221,Neural,Neural,Horizontal cells
222,Pancreatic,Pancreatic,Hub cells
223,Mesenchymal,Chondrocyte,Hypertrophic chondrocytes
224,Stroma,Epithelial,Hypothalamus glioblast
225,Haematopoietic,Haematopoietic,Hypothalamus immune cells
226,Neural,Neural,Hypothalamus neuroblast
227,Neural,Neural,Hypothalamus neuron
228,Neural,Neural,Hypothalamus neuronal IPC
229,Neural,Neural,Hypothalamus oligodendrocyte precursor cells
230,Neural,Neural,Hypothalamus radial glia
231,Haematopoietic,Lymphoid,ILC2
232,Haematopoietic,Lymphoid,ILC3
233,Haematopoietic,Lymphoid,ILCP
234,Haematopoietic,Lymphoid,Immature B
235,Mesenchymal,Mesenchymal,Inner progress zone cells
236,Haematopoietic,Lymphoid,Intermediate NK
237,Mesenchymal,Chondrocyte,Intermediate limb chondrocytes
238,Mesenchymal,Chondrocyte,Intermediate lung chondrocytes
239,Stroma,Fibroblast,Intermediate lung fibroblast
240,Stroma,Endothelial,Intermediate lymphatic endothelial cells
241,Stroma,Endocrine,Intermediate neuroendocrine cells
242,Stroma,Epithelial,Intermediate trachea ciliated cells
243,Gut,Gut,Interstitial cells of Cajal
244,Stroma,Fibroblast,Interstitial myofibroblasts
245,Mesenchymal,Mesenchymal,Intervertebral disc cells
246,Mesenchymal,Mesenchymal,Interzone cells
247,Haematopoietic,Myeloid,Iron recycling macrophage
248,Neural,Neural,KCNIP4+ neuron
249,Stroma,Epithelial,Keratinocyte
250,Stroma,Epithelial,Keratocytes
251,Haematopoietic,Myeloid,Kupffer-like macrophage
252,Haematopoietic,Myeloid,LYVE1+ macrophage
253,Haematopoietic,Myeloid,LYZ+ monocytes
254,Stroma,Endocrine,Lactotropic cells
255,Haematopoietic,Myeloid,Langerhans cells
256,Haematopoietic,Lymphoid,Large pre-B
257,Haematopoietic,MK,Late MK
258,Neural,Neural,Late Schwann cells
259,Mesenchymal,Muscle,Late airway SMC
260,Stroma,Epithelial,Late airway progenitor
261,Stroma,Epithelial,Late basal cells
262,Stroma,Endothelial,Late capillary endothelial cells
263,Erythroid,Erythroid,Late erythroid
264,Stroma,Epithelial,Late mesothelial cells
265,Haematopoietic,Lymphoid,Late pre-B
266,Haematopoietic,Lymphoid,Late pro-B
267,Stroma,Endothelial,Late stalk cells
268,Stroma,Epithelial,Late supporting-like PAX8+ cells
269,Stroma,Epithelial,Late tip progenitor
270,Mesenchymal,Mesenchymal,Lateral plate mesoderm cells
271,Stroma,Fibroblast,Limbal fibroblast
272,Mesenchymal,Mesenchymal,Limbal stem/progenitor cells
273,Stroma,Epithelial,Limbal stromal cells
274,Stroma,Epithelial,Lung ciliated cells
275,Stroma,Endocrine,Lung secretory cells
276,Stroma,Endothelial,Lymphatic endothelial cells
277,Haematopoietic,Progenitor,MEMP
278,Haematopoietic,Progenitor,MEP
279,Stroma,Fibroblast,MFAP5+ fibroblast
280,Neural,Neural,MFNG+ DBH+ neuron
