,FACS_Sorting,Age,Method,Multiplexed,Dataset,Anatomical_Site,Organ,10X_Chemistry,Donor_ID,Accession_ID,Organism,Sample_ID,Sex,Expected_Donors,Study,Technology,Age(PCW)
0,Total,6.0,3GEX,No,Linnarson,Spinal_cord_lumbar,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X147_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
1,Total,10.0,3GEX,No,Linnarson,Forebrain,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
2,Total,10.0,3GEX,No,Linnarson,Forebrain,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
3,Total,10.0,3GEX,No,Linnarson,Forebrain,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
4,Total,10.0,3GEX,No,Linnarson,Forebrain,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
5,Total,10.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
6,Total,10.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
7,Total,10.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
8,Total,10.0,3GEX,No,Linnarson,Cortex,Brain,10x3'v2,XHU:297,EGAD00001006049,Human,10X101_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,10.0
9,Total,6.0,3GEX,No,Linnarson,Spinal_cord_cervical,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X147_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
10,Total,6.0,3GEX,No,Linnarson,Spinal_cord_thoracic,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X147_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
11,Total,6.0,3GEX,No,Linnarson,Spinal_cord_lumbar,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X147_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
12,Total,6.0,3GEX,No,Linnarson,Spinal_cord_thoracic,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X147_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
13,Total,6.0,3GEX,No,Linnarson,Medulla,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
14,Total,6.0,3GEX,No,Linnarson,Medulla,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
15,Total,6.0,3GEX,No,Linnarson,Spinal_cord_cervical,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
16,Total,6.0,3GEX,No,Linnarson,Spinal_cord_cervical,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
17,Total,6.0,3GEX,No,Linnarson,Spinal_cord_lumbar,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
18,Total,6.0,3GEX,No,Linnarson,Spinal_cord_lumbar,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
19,Total,6.0,3GEX,No,Linnarson,Spinal_cord_thoracic,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
20,Total,6.0,3GEX,No,Linnarson,Spinal_cord_thoracic,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X148_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
21,Total,6.0,3GEX,No,Linnarson,Lung,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X151_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
22,Total,6.0,3GEX,No,Linnarson,Heart,Brain,10x3'v2,XDD:326,EGAD00001006049,Human,10X151_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.0
23,Total,6.7,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v2,BRC2147,EGAD00001006049,Human,10X152_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.7
