Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[disease],Characteristics[organism part],Characteristics[individual],Characteristics[developmental stage],Characteristics[assay name],Characteristics[protocol],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Protocol REF.4,Protocol REF.5,Derived Array Data File,Protocol REF.6,Protocol REF.7,Derived Array Data File.1,Protocol REF.8,Protocol REF.9,Derived Array Data File.2,Protocol REF.10,Protocol REF.11,Derived Array Data File.3,Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[organism part]
HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS20915832,SAMEA115955918,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,sequencing assay,ERX12965214,HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,ERR13594366,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594366/HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS20915832,SAMEA115955918,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,sequencing assay,ERX12965214,HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,ERR13594366,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594366/HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,paired,read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS20915832,SAMEA115955918,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,sequencing assay,ERX12965214,HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,ERR13594366,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594366/HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,cell_barcode,index2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS20915832,SAMEA115955918,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,sequencing assay,ERX12965214,HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,ERR13594366,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594366/HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,paired,read2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS20915833,SAMEA115955919,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,sequencing assay,ERX12965215,HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,ERR13594400,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594400/HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS20915833,SAMEA115955919,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,sequencing assay,ERX12965215,HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,ERR13594400,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594400/HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,paired,read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS20915833,SAMEA115955919,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,sequencing assay,ERX12965215,HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,ERR13594400,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594400/HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,cell_barcode,index2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS20915833,SAMEA115955919,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,sequencing assay,ERX12965215,HCA_BN_F12477272_S1_L001_R3_001.fastq.gz,HCA_BN_F12477272_S1_L001_R3_001.fastq.gz,ERR13594400,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594400/HCA_BN_F12477272_S1_L001_R3_001.fastq.gz,paired,read2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,ERS20915834,SAMEA115955920,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482361_and_HCA_BN_F12477273,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,sequencing assay,ERX12965216,HCA_BN_F12477273_S1_L001_I1_001.fastq.gz,HCA_BN_F12477273_S1_L001_I1_001.fastq.gz,ERR13594372,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594372/HCA_BN_F12477273_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,ERS20915834,SAMEA115955920,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482361_and_HCA_BN_F12477273,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0,91,0,read1,16,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0,index1,8,10x technology,none,16,read1,12,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482361_and_HCA_BN_F12477273_ATAC,sequencing assay,ERX12965216,HCA_BN_F12477273_S1_L001_R1_001.fastq.gz,HCA_BN_F12477273_S1_L001_R1_001.fastq.gz,ERR13594372,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR135/ERR13594372/HCA_BN_F12477273_S1_L001_R1_001.fastq.gz,paired,read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482361_and_HCA_BN_F12477273_meta.tar.gz,8.5,week,EFO,UO_0000034,skull base
