Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[individual],Characteristics[developmental stage],Characteristics[organism part],Characteristics[cell line],Characteristics[cell type],Characteristics[growth condition],Characteristics[immunophenotype],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Protocol REF.3,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.4,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[organism part],Factor Value[time],Unit[time unit].2,Term Source REF.2,Term Accession Number.2,Factor Value[immunophenotype]
6180STDY9448808,ERS11951303,SAMEA14357643,Homo sapiens,  ,  ,  ,  ,  ,  ,  ,  ,"HPSI0114i-kolf_2, HPSI0514i-fiaj_1",induced pluripotent stem cell,artificial thymic organoid culture,mouse CD29- CD45+,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448808,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448808,sequencing assay,ERX9246050,6180STDY9448808_S1_L001_I1_001.fastq.gz,6180STDY9448808_S1_L001_I1_001.fastq.gz,ERR9696936,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696936/6180STDY9448808_S1_L001_I1_001.fastq.gz,sample_barcode,index1,  ,  ,  ,  ,  ,3,week,EFO,UO_0000034,mouse CD29- CD45+
6180STDY9448808,ERS11951303,SAMEA14357643,Homo sapiens,  ,  ,  ,  ,  ,  ,  ,  ,"HPSI0114i-kolf_2, HPSI0514i-fiaj_1",induced pluripotent stem cell,artificial thymic organoid culture,mouse CD29- CD45+,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448808,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448808,sequencing assay,ERX9246050,6180STDY9448808_S1_L001_R1_001.fastq.gz,6180STDY9448808_S1_L001_R1_001.fastq.gz,ERR9696936,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696936/6180STDY9448808_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,  ,  ,  ,  ,  ,3,week,EFO,UO_0000034,mouse CD29- CD45+
6180STDY9448808,ERS11951303,SAMEA14357643,Homo sapiens,  ,  ,  ,  ,  ,  ,  ,  ,"HPSI0114i-kolf_2, HPSI0514i-fiaj_1",induced pluripotent stem cell,artificial thymic organoid culture,mouse CD29- CD45+,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448808,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448808,sequencing assay,ERX9246050,6180STDY9448808_S1_L001_R2_001.fastq.gz,6180STDY9448808_S1_L001_R2_001.fastq.gz,ERR9696936,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696936/6180STDY9448808_S1_L001_R2_001.fastq.gz,single,read2,  ,  ,  ,  ,  ,3,week,EFO,UO_0000034,mouse CD29- CD45+
6180STDY9448811,ERS11951304,SAMEA14357644,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448811,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448811,sequencing assay,ERX9246051,6180STDY9448811_S1_L001_I1_001.fastq.gz,6180STDY9448811_S1_L001_I1_001.fastq.gz,ERR9696937,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696937/6180STDY9448811_S1_L001_I1_001.fastq.gz,sample_barcode,index1,  ,  ,  ,  ,  ,5,week,EFO,UO_0000034,live cell
6180STDY9448811,ERS11951304,SAMEA14357644,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448811,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448811,sequencing assay,ERX9246051,6180STDY9448811_S1_L001_R1_001.fastq.gz,6180STDY9448811_S1_L001_R1_001.fastq.gz,ERR9696937,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696937/6180STDY9448811_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,  ,  ,  ,  ,  ,5,week,EFO,UO_0000034,live cell
6180STDY9448811,ERS11951304,SAMEA14357644,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448811,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448811,sequencing assay,ERX9246051,6180STDY9448811_S1_L001_R2_001.fastq.gz,6180STDY9448811_S1_L001_R2_001.fastq.gz,ERR9696937,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696937/6180STDY9448811_S1_L001_R2_001.fastq.gz,single,read2,  ,  ,  ,  ,  ,5,week,EFO,UO_0000034,live cell
6180STDY9448813,ERS11951305,SAMEA14357645,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448813,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448813,sequencing assay,ERX9246052,6180STDY9448813_S1_L001_I1_001.fastq.gz,6180STDY9448813_S1_L001_I1_001.fastq.gz,ERR9696938,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696938/6180STDY9448813_S1_L001_I1_001.fastq.gz,sample_barcode,index1,  ,  ,  ,  ,  ,7,week,EFO,UO_0000034,live cell
6180STDY9448813,ERS11951305,SAMEA14357645,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448813,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448813,sequencing assay,ERX9246052,6180STDY9448813_S1_L001_R1_001.fastq.gz,6180STDY9448813_S1_L001_R1_001.fastq.gz,ERR9696938,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696938/6180STDY9448813_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,  ,  ,  ,  ,  ,7,week,EFO,UO_0000034,live cell
6180STDY9448813,ERS11951305,SAMEA14357645,mixed sample,  ,  ,  ,  ,  ,  ,  ,  ,"MS5-hDLL4, HPSI0114i-kolf_2, HPSI0514i-fiaj_1",human induced pluripotent stem cells and mouse stromal cells,artificial thymic organoid culture,live cell,cell,P-MTAB-121332,P-MTAB-121333,P-MTAB-118567,P-MTAB-118568,6180STDY9448813,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,5 prime tag,polyA RNA,10x 5' v1,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,6180STDY9448813,sequencing assay,ERX9246052,6180STDY9448813_S1_L001_R2_001.fastq.gz,6180STDY9448813_S1_L001_R2_001.fastq.gz,ERR9696938,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696938/6180STDY9448813_S1_L001_R2_001.fastq.gz,single,read2,  ,  ,  ,  ,  ,7,week,EFO,UO_0000034,live cell
FCAImmP7179365,ERS11951306,SAMEA14357646,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179365,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179365,sequencing assay,ERX9246053,FCAImmP7179365_S1_L001_I1_001.fastq.gz,FCAImmP7179365_S1_L001_I1_001.fastq.gz,ERR9696939,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696939/FCAImmP7179365_S1_L001_I1_001.fastq.gz,sample_barcode,index1,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
