Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[embryo stage]	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[immunophenotype]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Derived Array Data File	Derived Array Data File	Derived Array Data File	Factor Value[individual]	Factor Value[sampling site]	Factor Value[immunophenotype]
FCAImmP7862084	ERS6921425	SAMEA9196793	Homo sapiens	embryo stage	carnegie stage 18	male	F61	liver	liver	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862084	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862084	sequencing assay	ERX5690869	FCAImmP7862084.bam	FCAImmP7862084.bam	ERR6051983	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051983/FCAImmP7862084.bam	FCAImmP7862084_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862084_S1_L001_R1_001.fastq.gz	FCAImmP7862084_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862084_S1_L001_R2_001.fastq.gz	FCAImmP7862084_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862084_S1_L001_I1_001.fastq.gz	P-MTAB-119014	FL_10x_counts.mtx.gz	FL_10x_genes.tsv.gz	FL_10x_barcodes_and_metadata.tsv.gz		F61	liver	CD45+
FCAImmP7862085	ERS6921426	SAMEA9196803	Homo sapiens	embryo stage	carnegie stage 18	male	F61	liver	liver	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862085	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862085	sequencing assay	ERX5690870	FCAImmP7862085.bam	FCAImmP7862085.bam	ERR6051984	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051984/FCAImmP7862085.bam	FCAImmP7862085_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862085_S1_L001_R1_001.fastq.gz	FCAImmP7862085_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862085_S1_L001_R2_001.fastq.gz	FCAImmP7862085_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862085_S1_L001_I1_001.fastq.gz	P-MTAB-119014	FL_10x_counts.mtx.gz	FL_10x_genes.tsv.gz	FL_10x_barcodes_and_metadata.tsv.gz		F61	liver	CD45+
FCAImmP7862086	ERS6921427	SAMEA9196805	Homo sapiens	embryo stage	carnegie stage 18	male	F61	liver	liver	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862086	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862086	sequencing assay	ERX5690871	FCAImmP7862086.bam	FCAImmP7862086.bam	ERR6051985	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051985/FCAImmP7862086.bam	FCAImmP7862086_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862086_S1_L001_R1_001.fastq.gz	FCAImmP7862086_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862086_S1_L001_R2_001.fastq.gz	FCAImmP7862086_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862086_S1_L001_I1_001.fastq.gz	P-MTAB-119014	FL_10x_counts.mtx.gz	FL_10x_genes.tsv.gz	FL_10x_barcodes_and_metadata.tsv.gz		F61	liver	CD45-
FCAImmP7862087	ERS6921428	SAMEA9196801	Homo sapiens	embryo stage	carnegie stage 18	male	F61	liver	liver	Hep	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862087	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862087	sequencing assay	ERX5690872	FCAImmP7862087.bam	FCAImmP7862087.bam	ERR6051986	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051986/FCAImmP7862087.bam	FCAImmP7862087_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862087_S1_L001_R1_001.fastq.gz	FCAImmP7862087_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862087_S1_L001_R2_001.fastq.gz	FCAImmP7862087_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862087_S1_L001_I1_001.fastq.gz	P-MTAB-119014	FL_10x_counts.mtx.gz	FL_10x_genes.tsv.gz	FL_10x_barcodes_and_metadata.tsv.gz		F61	liver	Hep
FCAImmP7862088	ERS6921429	SAMEA9196804	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862088	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862088	sequencing assay	ERX5690873	FCAImmP7862088.bam	FCAImmP7862088.bam	ERR6051987	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051987/FCAImmP7862088.bam	FCAImmP7862088_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862088_S1_L001_R1_001.fastq.gz	FCAImmP7862088_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862088_S1_L001_R2_001.fastq.gz	FCAImmP7862088_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862088_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45+
FCAImmP7862089	ERS6921430	SAMEA9196794	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862089	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862089	sequencing assay	ERX5690874	FCAImmP7862089.bam	FCAImmP7862089.bam	ERR6051988	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051988/FCAImmP7862089.bam	FCAImmP7862089_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862089_S1_L001_R1_001.fastq.gz	FCAImmP7862089_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862089_S1_L001_R2_001.fastq.gz	FCAImmP7862089_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862089_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45+
FCAImmP7862090	ERS6921431	SAMEA9196797	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862090	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862090	sequencing assay	ERX5690875	FCAImmP7862090.bam	FCAImmP7862090.bam	ERR6051989	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051989/FCAImmP7862090.bam	FCAImmP7862090_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862090_S1_L001_R1_001.fastq.gz	FCAImmP7862090_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862090_S1_L001_R2_001.fastq.gz	FCAImmP7862090_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862090_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45+
FCAImmP7862091	ERS6921432	SAMEA9196795	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862091	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862091	sequencing assay	ERX5690876	FCAImmP7862091.bam	FCAImmP7862091.bam	ERR6051990	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051990/FCAImmP7862091.bam	FCAImmP7862091_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862091_S1_L001_R1_001.fastq.gz	FCAImmP7862091_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862091_S1_L001_R2_001.fastq.gz	FCAImmP7862091_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862091_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45-
FCAImmP7862092	ERS6921433	SAMEA9196798	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862092	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862092	sequencing assay	ERX5690877	FCAImmP7862092.bam	FCAImmP7862092.bam	ERR6051991	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051991/FCAImmP7862092.bam	FCAImmP7862092_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862092_S1_L001_R1_001.fastq.gz	FCAImmP7862092_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862092_S1_L001_R2_001.fastq.gz	FCAImmP7862092_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862092_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45-
FCAImmP7862093	ERS6921434	SAMEA9196802	Homo sapiens	embryo stage	carnegie stage 18	male	F61	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP7862093	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP7862093	sequencing assay	ERX5690878	FCAImmP7862093.bam	FCAImmP7862093.bam	ERR6051992	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051992/FCAImmP7862093.bam	FCAImmP7862093_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862093_S1_L001_R1_001.fastq.gz	FCAImmP7862093_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862093_S1_L001_R2_001.fastq.gz	FCAImmP7862093_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP7862093_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F61	membrane	CD45-
