Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[embryo stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[individual]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_TYPE]	Comment[READ_INDEX]	Protocol REF	Protocol REF	Derived Array Data File	Protocol REF	Protocol REF	Derived Array Data File	Protocol REF	Protocol REF	Derived Array Data File	Factor Value[sampling site]
WS_wEMB12142156	ERS11881168	SAMEA14281262	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142156	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142156	sequencing assay	ERX9210936	WS_wEMB12142156_S1_L001_I1_001.fastq.gz	WS_wEMB12142156_S1_L001_I1_001.fastq.gz	ERR9661455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661455/WS_wEMB12142156_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142156	ERS11881168	SAMEA14281262	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142156	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142156	sequencing assay	ERX9210936	WS_wEMB12142156_S1_L001_R1_001.fastq.gz	WS_wEMB12142156_S1_L001_R1_001.fastq.gz	ERR9661455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661455/WS_wEMB12142156_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142156	ERS11881168	SAMEA14281262	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142156	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142156	sequencing assay	ERX9210936	WS_wEMB12142156_S1_L001_R2_001.fastq.gz	WS_wEMB12142156_S1_L001_R2_001.fastq.gz	ERR9661455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661455/WS_wEMB12142156_S1_L001_R2_001.fastq.gz	single	read2	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142157	ERS11881169	SAMEA14281263	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142157	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142157	sequencing assay	ERX9210937	WS_wEMB12142157_S1_L001_I1_001.fastq.gz	WS_wEMB12142157_S1_L001_I1_001.fastq.gz	ERR9661456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661456/WS_wEMB12142157_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142157	ERS11881169	SAMEA14281263	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142157	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142157	sequencing assay	ERX9210937	WS_wEMB12142157_S1_L001_R1_001.fastq.gz	WS_wEMB12142157_S1_L001_R1_001.fastq.gz	ERR9661456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661456/WS_wEMB12142157_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142157	ERS11881169	SAMEA14281263	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142157	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142157	sequencing assay	ERX9210937	WS_wEMB12142157_S1_L001_R2_001.fastq.gz	WS_wEMB12142157_S1_L001_R2_001.fastq.gz	ERR9661456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661456/WS_wEMB12142157_S1_L001_R2_001.fastq.gz	single	read2	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142158	ERS11881170	SAMEA14281264	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142158	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142158	sequencing assay	ERX9210938	WS_wEMB12142158_S1_L001_I1_001.fastq.gz	WS_wEMB12142158_S1_L001_I1_001.fastq.gz	ERR9661457	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661457/WS_wEMB12142158_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142158	ERS11881170	SAMEA14281264	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142158	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142158	sequencing assay	ERX9210938	WS_wEMB12142158_S1_L001_R1_001.fastq.gz	WS_wEMB12142158_S1_L001_R1_001.fastq.gz	ERR9661457	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661457/WS_wEMB12142158_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142158	ERS11881170	SAMEA14281264	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142158	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142158	sequencing assay	ERX9210938	WS_wEMB12142158_S1_L001_R2_001.fastq.gz	WS_wEMB12142158_S1_L001_R2_001.fastq.gz	ERR9661457	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661457/WS_wEMB12142158_S1_L001_R2_001.fastq.gz	single	read2	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
WS_wEMB12142159	ERS11881171	SAMEA14281265	Homo sapiens	embryonic stage	Carnegie stage 17	female	normal	F158	yolk sac	cell	P-MTAB-121195	P-MTAB-121196	P-MTAB-121197	WS_wEMB12142159	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	first strand	RNA-Seq	5'-3'-3'-5'	read2	0	98	0	read1	16	5 prime tag	polyA RNA	10x 5' v2	oligo-dT	0	index1	8	10x	none	16	read1	10	P-MTAB-121198	Sanger Institute	WS_wEMB12142159	sequencing assay	ERX9210939	WS_wEMB12142159_S1_L001_I1_001.fastq.gz	WS_wEMB12142159_S1_L001_I1_001.fastq.gz	ERR9661458	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR966/ERR9661458/WS_wEMB12142159_S1_L001_I1_001.fastq.gz	sample_barcode	index1	P-MTAB-121199	P-MTAB-121200	F158_YS_barcodes.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_features.tsv.gz	P-MTAB-121199	P-MTAB-121200	F158_YS_matrix.mtx.gz	yolk sac
